#separator: tab
#html:true
ウェイ	way
角 | かど	corner (e.g. desk, pavement), edge
重量 | じゅうりょう	weight, heavyweight boxer
火災 | かさい	conflagration; fire
割る | わ	to divide; to cut; to break; to halve; to separate; to split; to rip; to crack; to smash; to dilute
動向 | どうこう	trend; tendency; movement; attitude
市内 | しない	(within a) city; local
前回 | ぜんかい	previous time; last time; previous installment; previous instalment; previous session
先 | さき	previous; prior; former; first; earlier; some time ago; preceding, point (e.g. pencil); tip; end; nozzle
分解 | ぶんかい	disassembly; dismantling; disaggregating; analysis; disintegrating; decomposing; degrading, factorization
飛ぶ | と	to fly; to soar, to jump; to leap; to spring; to bound; to hop
芝居 | しばい	play; drama
領域 | りょういき	area; domain; territory; field; range; region; regime
刀 | かたな	(single-edged) sword; katana, dagger; knife
きっと	surely; undoubtedly; almost certainly; most likely (e.g. 90 percent), sternly; severely
先端 | せんたん	pointed end; tip; fine point; spearhead; cusp; vanguard; advanced; leading edge; apex (of a curve)
部下 | ぶか	subordinate person
布団 | ふとん	futon (quilted Japanese-style mattress laid out on the floor), round cushion used for Zen meditation (traditionally made of woven bulrush leaves)
湾 | わん	bay; gulf; inlet
真っ赤 | ま, か	bright red; deep red; flushed (of face), downright (e.g. lie); complete; utter
プラス	plus; addition, positive number
知り合い | し, あ	acquaintance
泥棒 | どろぼう	thief; burglar; robber; theft
質 | しつ	quality
後輩 | こうはい	junior (at work, school, etc.); younger people; younger student
鳴る | な	to sound; to ring; to resound; to echo; to roar; to rumble
粉 | こな	flour; meal; powder
システム	system
誤り | あやま	error; mistake; slip; bug
臨時 | りんじ	temporary; special; extraordinary
テキスト	text, textbook
ダンス	dance
預ける | あず	to give into custody; to leave (a child) in the care of; to entrust; to deposit, to lean on; to put one's weight on
我慢 | がまん	patience; endurance; perseverance; tolerance; self-control; self-denial
制定 | せいてい	enactment; establishment; creation
矛盾 | むじゅん	contradiction; inconsistency
建つ | た	to be erected; to be built
活発 | かっぱつ	vigor; vigour; active; lively
触る | さわ	to touch; to feel
暮らす | く	to live; to get along, to spend (time)
素直 | すなお	obedient; meek; docile; unaffected, honest; frank; upfront (about one's feelings)
一昨年 | おととし	year before last
燃料 | ねんりょう	fuel
概念 | がいねん	general idea; concept; notion
医師 | いし	doctor; physician
港 | みなと	harbour; harbor; port
発車 | はっしゃ	departure of a vehicle
地獄 | じごく	hell
万一 | まんいち	emergency; unlikely event, by some chance; by some possibility
写す | うつ	to transcribe; to duplicate; to reproduce; to imitate; to trace, to describe
統合 | とうごう	integration; unification; synthesis, integrated; built-in
試み | こころ	attempt; trial; experiment, endeavour (endeavor); effort; venture; initiative
女王 | じょおう	queen
寺 | てら	temple (Buddhist)
子孫 | しそん	descendants; posterity; offspring
思い出 | おも, で	memories; recollections; reminiscence
商人 | しょうにん	trader; shopkeeper; merchant
倉庫 | そうこ	storehouse; warehouse; godown
争い | あらそ	dispute; strife; quarrel; dissension; conflict; rivalry; contest
用 | よう	task; business, use; duty; service
延期 | えんき	postponement; adjournment
人数 | にんずう	the number of people, many people; a large number of people
暇 | ひま	spare time; free time; leisure, time (e.g. time it takes to do something)
教員 | きょういん	teacher; instructor; teaching staff; faculty member
機構 | きこう	mechanism; organization; organisation
落ちる | お	to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze); to be used in a certain place (e.g. money), to be omitted; to be missing
当初 | とうしょ	at first; at the beginning; initially; originally
多様 | たよう	diverse; varied
忘れる | わす	to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article)
強盗 | ごうとう	robber; mugger, robbery; burglary
松 | まつ	pine tree (Pinus spp.), highest (of a three-tier ranking system)
上がり | あ	rise; increase; ascent, income; proceeds; return; profit; crop yield
結成 | けっせい	formation; combination
地帯 | ちたい	area; zone; belt (of land)
思考 | しこう	thought; consideration; thinking
戦後 | せんご	postwar period; period after Second World War
渋滞 | じゅうたい	congestion (e.g. traffic); delay; stagnation
水中 | すいちゅう	underwater
貨物 | かもつ	cargo; freight, money or assets
実に | じつ	indeed; really; absolutely; truly; actually; very; quite
管 | かん	pipe; tube
嫁 | よめ	wife; bride, (one's) daughter-in-law
配置 | はいち	arrangement (of resources); deployment; stationing; posting; disposition; configuration; layout
拒否 | きょひ	denial; veto; rejection; refusal
婚約 | こんやく	engagement; betrothal
から	from (e.g. time, place, numerical quantity); since, from (originator); by
刻む | きざ	to mince; to cut fine; to chop up; to hash; to shred, to carve; to engrave; to chisel; to notch
交際 | こうさい	company; friendship; association; society; acquaintance
高価 | こうか	high price
日付 | ひづけ	date; dating
新鮮 | しんせん	fresh
役目 | やくめ	duty; business; role
異なる | こと	to differ; to vary; to disagree
土木 | どぼく	engineering works; civil engineering; public works
定年 | ていねん	retirement age, years of service in a military rank before eligibility for promotion
出品 | しゅっぴん	exhibit; display; putting something up for sale
品質 | ひんしつ	(material) quality
仲間 | なかま	company; fellow; colleague; associate; comrade; mate; group; circle of friends; partner, member of the same category
レベル	level; standard; amount; degree; gradation; grade; rank; class; floor; storey (story); layer; stratum, spirit level; (surveyor's) level
昭和 | しょうわ	Showa era (1926.12.25-1989.1.7)
理科 | りか	science
幹部 | かんぶ	management; (executive) staff; leaders; leadership; top brass; upper echelons
基づく | もと	to be grounded on; to be based on; to be due to; to originate from
降る | ふ	to precipitate; to fall (e.g. rain)
頂上 | ちょうじょう	top; summit; peak
続く | つづ	to continue; to last; to go on, to continue (without a break); to be unbroken
サイン	autograph; signature, sign
腰 | こし	back; lower back; waist; hips; lumbar region, body (of hair, noodle, paper, etc.); resilience; spring
王子 | おうじ	prince, subordinate Kumano shrine
旗 | はた	flag, pataka (banner)
知的 | ちてき	intellectual
指揮 | しき	command; direction
条約 | じょうやく	treaty; pact
赤ん坊 | あか, ぼう	baby; infant
生存 | せいぞん	existence; being; survival, to exist; to live; to survive
ここ	here (place physically close to the speaker, place pointed by the speaker while explaining); this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker)
門 | もん	gate, branch of learning based on the teachings of a single master
やっと	at last; at length, barely; narrowly; just; by the skin of one's teeth
モデル	model
隅 | すみ	corner; nook; recess, downstage right (on a noh stage)
連合 | れんごう	union; alliance; combination, RENGO (Japanese Trade Union Confederation)
できる	to be able (in a position) to do; to be up to the task, to be ready; to be completed
二日 | ふつか	second day of the month, two days
定義 | ていぎ	definition
上着 | うわぎ	coat; tunic; jacket; outer garment
美術 | びじゅつ	art; fine arts
大正 | たいしょう	Taisho era (1912.7.30-1926.12.25)
高級 | こうきゅう	high class; high grade, high rank; seniority
田舎 | いなか	rural area; countryside; the sticks, hometown
よく	nicely; properly; well; skillfully; skilfully, frequently; often
三日 | みっか	the third day of the month, three days
回 | かい	counter for occurrences, a time; an instance
膝 | ひざ	knee, lap; knee and thigh (while sitting)
拾う | ひろ	to pick up; to find; to gather
多数 | たすう	great number, countless; majority
収める | おさ	to dedicate; to make an offering; to pay (fees), to supply
大型 | おおがた	large; large scale; big; jumbo
絞る | しぼ	to wring (towel, rag); to squeeze, to squeeze (fruit to extract juice); to press; to extract; to milk; to express milk
役者 | やくしゃ	actor; actress
光景 | こうけい	scene; spectacle; sight; view
不利 | ふり	disadvantage; handicap; unfavorable; unfavourable; drawback
続ける | つづ	to continue; to keep up; to keep on
ガソリン	gasoline; petrol
優先 | ゆうせん	preference; priority; precedence
男女 | だんじょ	men and women; man and woman; both sexes; both genders
本体 | ほんたい	substance; real form, main part; main unit; body (of a machine)
写る | うつ	to be photographed; to be projected
赤ちゃん | あか	baby; infant
保健 | ほけん	health preservation; hygiene; sanitation
成分 | せいぶん	ingredient; component; composition
売店 | ばいてん	shop; stand
赤 | あか	red; crimson; scarlet, red-containing colour (e.g. brown, pink, orange)
明治 | めいじ	Meiji era (1868.9.8-1912.7.30)
大工 | だいく	carpenter
向き | む	direction; orientation; aspect; situation; exposure; suitability; tendency
睡眠 | すいみん	sleep
電池 | でんち	battery; cell
及ぶ | およ	to reach; to amount to; to befall; to happen to; to extend; to go on (for, until), to be up to the task; to come up to
朝日 | あさひ	morning sun
本国 | ほんごく	one's own country
非難 | ひなん	criticism; blame; censure; attack; reproach
違反 | いはん	violation; offense; offence; breach; transgression; infringement; contravention
ここ	here (place physically close to the speaker, place pointed by the speaker while explaining); this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker)
圧力 | あつりょく	pressure; stress, coercion; arm-twisting
手前 | てまえ	before; this side, one's standpoint; one's appearance
進む | すす	to advance; to go forward, to precede; to go ahead (of)
要する | よう	to need; to demand; to take; to require
平野 | へいや	plain; open field
ペン	pen
差 | さ	difference; variation, difference
発想 | はっそう	idea; conception; way of thinking, expression
境界 | きょうかい	boundary
決勝 | けっしょう	decision of a contest; finals (in sports)
独自 | どくじ	original; unique; distinctive; characteristic; peculiar, independent; one's own; personal
携帯 | けいたい	something carried (in the hand); handheld; portable, mobile telephone; cell phone
直径 | ちょっけい	diameter
職場 | しょくば	one's post; place of work; workplace
小鳥 | ことり	small bird; songbird, birdie; dickeybird; dickybird
家屋 | かおく	house; building
配る | くば	to distribute; to deliver; to deal (cards)
広まる | ひろ	to spread; to be propagated
組 | くみ	set (of items), group (of people); class (of students); company (esp. construction); family (i.e. mafia); team
名物 | めいぶつ	famous product; special product; speciality; specialty
水曜 | すいよう	Wednesday
経る | へ	to pass; to elapse; to go by, to pass through; to go through
参照 | さんしょう	reference; bibliographical reference; consultation; browsing (e.g. when selecting a file to upload on a computer); checking out
課程 | かてい	course; curriculum
短期 | たんき	short-term
月末 | げつまつ	end of the month
アメリカ	America, United States of America
全然 | ぜんぜん	not at all (with neg. verb), wholly; entirely; completely
主題 | しゅだい	subject; theme; motif
嵐 | あらし	storm; tempest, difficulty; trouble
見直す | みなお	to look again, to re-examine (policy, estimate, plan, etc.); to review
論理 | ろんり	logic, logical
改良 | かいりょう	improvement; reform
批評 | ひひょう	criticism; review; commentary
週末 | しゅうまつ	weekend
本文 | ほんぶん	text (of document); body (of letter)
祝日 | しゅくじつ	national holiday; public holiday
当選 | とうせん	being elected, being selected (to win a prize, etc.)
引っ張る | ひ, ぱ	to pull; to draw; to pull tight, to string (lines); to run (cable); to stretch
工作 | こうさく	handicraft, work; construction; manufacturing
特集 | とくしゅう	feature (e.g. newspaper); special edition; report
あれ	that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly), that person (used to refer to one's equals or inferiors)
火曜 | かよう	Tuesday
東京 | とうきょう	Tokyo
貧しい | まず	poor; needy, lacking (quantity and quality-wise); poor; scanty; skimpy; slight; inadequate
受ける | う	to receive; to get, to catch (e.g. a ball)
奇妙 | きみょう	strange; queer; curious
比率 | ひりつ	ratio; proportion; percentage
機関 | きかん	engine, agency; organisation; organization; institution; organ; body
応募 | おうぼ	application; subscription; entry (competition, raffle, etc.); enlistment
毛 | け	hair, fur; wool
実態 | じったい	true state; actual condition; reality
会見 | かいけん	interview; audience
制服 | せいふく	uniform
根拠 | こんきょ	basis; foundation
苦痛 | くつう	pain; agony; bitterness
裸 | はだか	naked; nude; bare
物価 | ぶっか	prices of commodities; prices (in general); cost-of-living
目標 | もくひょう	mark; objective; target
欠席 | けっせき	absence; non-attendance
昨夜 | ゆうべ	last night, evening
汚い | きたな	dirty; filthy; foul; unclean, disordered; messy; untidy; poor (e.g. handwriting)
表紙 | ひょうし	front cover; binding; (book) cover, appearing on the cover of a magazine
記入 | きにゅう	entry; filling in of forms
悪い | わる	bad; poor; inferior, evil; sinful
典型 | てんけい	type; pattern; model; epitome; exemplar; archetypal; representative
支援 | しえん	support; backing; aid; assistance
業績 | ぎょうせき	achievement; performance; results; work; contribution
部門 | ぶもん	division (of a larger group); branch; field; class (subclass); group; category; department
飼う | か	to keep (a pet or other animal); to raise; to have; to own; to feed
事前 | じぜん	prior; beforehand; in advance; before the fact; ex ante
際 | さい	on the occasion of; circumstances; juncture
貢献 | こうけん	contribution (furthering a goal or cause); services (to a cause)
分離 | ぶんり	separation; partition; detachment; segregation; isolation; decollation
不自由 | ふじゆう	discomfort; inconvenience, poverty; want; destitution
髪の毛 | かみ, け	hair (head)
緊急 | きんきゅう	urgent; pressing; emergency
熱帯 | ねったい	tropics
半島 | はんとう	peninsula
入れる | い	to put in; to let in; to take in; to bring in; to insert; to set (a jewel, etc.); to ink in (e.g. a tattoo), to admit; to accept; to employ; to hire
襲う | おそ	to attack; to assail; to make an assault; to strike; to hunt down, to succeed (someone in a post, role, etc.)
鬼 | おに	oni; ogre; demon, spirit of a deceased person
死者 | ししゃ	casualty; deceased
十日 | とおか	the tenth day of the month, ten days
掲載 | けいさい	publication (e.g. article in paper); appearance; insertion, to insert (e.g. an article); to run (e.g. in a newspaper); to carry (e.g. an article); to post (e.g. on the Web)
重点 | じゅうてん	important point; lay stress on; colon; emphasis
なさる	to do
育児 | いくじ	childcare; nursing; upbringing
大使館 | たいしかん	embassy
目指す | めざ	to aim at; to have an eye on, to go toward; to head for
自治 | じち	self-government; autonomy, local (governmental) autonomy
次ぐ | つ	to rank next to; to come after
美術館 | びじゅつかん	art gallery; art museum
不可 | ふか	wrong; bad; improper; unjustifiable; inadvisable, not allowed; not possible
贈り物 | おく, もの	present; gift
まさに	exactly; surely; certainly, right then; just then; at that moment
出来事 | できごと	incident; affair; happening; event
停車 | ていしゃ	stopping (e.g. train)
救助 | きゅうじょ	relief; aid; rescue
金銭 | きんせん	money; cash
関西 | かんさい	Kansai; region consisting of Osaka, Kobe, Kyoto and surrounding prefectures, Kansai; south-western half of Japan (during the feudal era)
全般 | ぜんぱん	(the) whole; universal; wholly; general; as a whole
再会 | さいかい	another meeting; meeting again; reunion
知恵 | ちえ	wisdom; wit; sagacity; sense; intelligence, prajna (insight leading to enlightenment)
永久 | えいきゅう	eternity; perpetuity; immortality, Eikyuu era (1113.7.13-1118.4.3)
広さ | ひろ	extent
悪魔 | あくま	devil; demon; fiend, Satan; the Devil
性別 | せいべつ	distinction by sex; sex; gender
違う | ちが	to differ (from); to vary, to not be in the usual condition
済む | す	to finish; to end; to be completed, to merely result in something less severe than expected
審議 | しんぎ	deliberation
騒ぐ | さわ	to make noise; to make racket; to be noisy, to rustle; to swoosh
年下 | としした	younger; junior
強制 | きょうせい	obligation; coercion; compulsion; enforcement
ベル	bell, bel; B
回収 | かいしゅう	collection; recovery; withdrawal; retrieval
将棋 | しょうぎ	shogi; Japanese chess; xianqi
感じる | かん	to feel; to sense; to experience
空き | あ	space; room; emptiness; gap, opening; vacancy; empty seat
漁業 | ぎょぎょう	fishing (industry)
合併 | がっぺい	combination; union; amalgamation; consolidation; merger; coalition; fusion; annexation; affiliation; incorporation
五日 | いつか	the fifth day of the month, five days
双子 | ふたご	twins; twin
食 | しょく	meal; (one's) diet; food; foodstuff; foodstuffs, eclipse (solar, lunar, etc.)
職人 | しょくにん	worker; mechanic; artisan; craftsman
段階 | だんかい	grade; level; stage; class; phase; steps; order; gradation
乗車 | じょうしゃ	taking a train, bus, etc.; entraining
改めて | あらた	another time; again; over again; once again; anew, formally; especially; intentionally; deliberately
運送 | うんそう	transport; freight; shipping
伝える | つた	to convey; to report; to transmit; to communicate; to tell; to impart; to propagate; to teach; to bequeath
宝石 | ほうせき	gem; jewel; precious stone
たまに	occasionally; once in a while
寄付 | きふ	contribution; donation
作 | さく	work (e.g. of art); production, harvest; cultivation; farming; crop; yield
判定 | はんてい	judgement; judgment; decision; adjudication; award; verdict; determination
系統 | けいとう	system, lineage; ancestry; family line
容器 | ようき	container; vessel
対話 | たいわ	dialogue; discussion; conversation; interaction
妊娠 | にんしん	conception; pregnancy
体系 | たいけい	system; organization; organisation; architecture
巣 | す	nest; rookery; breeding place; hive, den
語 | ご	language, word
儀式 | ぎしき	ceremony; rite; ritual; service
どの	form of address used for official letters and business letters, and in letters to inferiors; Mr.
豪華 | ごうか	wonderful; gorgeous; splendor; splendour; pomp; extravagance
大抵 | たいてい	mostly; ordinarily; usually; generally, probably
象徴 | しょうちょう	symbol
四日 | よっか	fourth day of the month, four days
内側 | うちがわ	inside; interior; inner part
裏切る | うらぎ	to betray; to turn traitor to; to double-cross
中学生 | ちゅうがくせい	junior high school student; middle school pupil
ちょうど	exactly; precisely; just; right, as if; as though; quite
在学 | ざいがく	(enrolled) in school
崩壊 | ほうかい	collapse; crumbling; breaking down; caving in, decay
慣れる | な	to get used to; to grow accustomed to; to become familiar with, to become skilled in; to become experienced at
学力 | がくりょく	scholarly ability; scholarship; knowledge; literary ability
力強い | ちからづよ	powerful; strong; forceful; vigorous, reassuring; encouraging
推定 | すいてい	presumption; assumption, estimation
よく	greed; craving; desire; avarice; wants
温暖 | おんだん	warm; mild; temperate; warmth
接近 | せっきん	getting closer; drawing nearer; approaching, being not much different; being near (age, skill, etc.)
軍事 | ぐんじ	military affairs
兵士 | へいし	soldier
入り | い	entering, setting (of the sun)
宣言 | せんげん	declaration; proclamation; announcement
固い | かた	hard; solid; tough, stiff; tight; wooden; unpolished (e.g. writing)
経つ | た	to pass; to lapse
休暇 | きゅうか	holiday; day off; furlough; absence (from work)
経費 | けいひ	expenses; cost; outlay
文法 | ぶんぽう	grammar; syntax
照明 | しょうめい	illumination; lighting
都内 | とない	metropolitan area
教える | おし	to teach; to instruct, to tell; to inform
あたり	hit, success
基盤 | きばん	foundation; basis; base; footing; infrastructure, bedrock
運賃 | うんちん	(passenger) fare, freight rates; shipping expenses
幸い | さいわ	happiness; blessedness; luck; fortune; felicity, luckily; fortunately
命 | いのち	life; life force, lifetime; lifespan
権限 | けんげん	power; authority; jurisdiction
専用 | せんよう	exclusive use; personal use; dedicated, private (e.g. network)
何しろ | なに	at any rate; anyhow; anyway; in any case; because; as you know; for you see
相撲 | すもう	sumo wrestling, wrestler; rikishi
促進 | そくしん	promotion; acceleration; encouragement; facilitation; spurring on
記号 | きごう	symbol; code; sign; notation
夕刊 | ゆうかん	evening paper
住居 | すまい	dwelling; house; residence; address
栽培 | さいばい	cultivation; growing
枠 | わく	frame; framework, border; box
およそ	about; roughly; approximately, generally; on the whole; as a rule
七日 | なのか	the seventh day of the month, seven days
大げさ | おお	grandiose; exaggerated
一行 | いちぎょう	a line (of text etc.); row, group; troupe; party
技師 | ぎし	engineer; technician
意欲 | いよく	will; desire; ambition; urge (e.g. creative urge)
昨年 | さくねん	last year
券 | けん	ticket; coupon; bond; certificate
白書 | はくしょ	white paper
若干 | じゃっかん	some; few; a number of; a little (bit), somewhat; to a certain extent
デザイン	design
支払い | しはら	payment
素材 | そざい	raw materials; subject matter
業務 | ぎょうむ	business; affairs; duties; work; procedure; task; action; function; (business) operations; operational
別々 | べつべつ	separately; individually
六日 | むいか	sixth day of the month, six days
かける	to hang (e.g. picture); to hoist (e.g. sail); to raise (e.g. flag), to sit
翌年 | よくねん	following year
国名 | こくめい	country name
倒産 | とうさん	(corporate) bankruptcy; insolvency; commercial failure; failed business
穴 | あな	hole, deficit; shortage; missing person (in a team, meeting, etc.)
改札 | かいさつ	examination of tickets, ticket gate; ticket barrier
妻 | つま	wife, my dear; dear; honey
石炭 | せきたん	coal
構想 | こうそう	plan; plot; idea; conception
尊重 | そんちょう	respect; esteem; regard
汽車 | きしゃ	train (sometimes specifically a steam train)
正義 | せいぎ	justice; right; righteousness; correct meaning
守備 | しゅび	defense; defence
細胞 | さいぼう	cell
行 | ぎょう	line (i.e. of text); row; verse, carya (austerities)
通訳 | つうやく	interpretation (i.e. oral translation); interpreter
好み | この	liking; taste; choice
毒 | どく	poison; toxicant, harm; evil influence
農村 | のうそん	agricultural community; farm village, rural
三角 | さんかく	triangle; triangular
解除 | かいじょ	cancellation; rescinding; release; calling off; lifting (sanctions); delisting
内科 | ないか	internal medicine, i.e. treatment by medical procedures rather than surgical procedures, department of internal medicine (hospital, etc.)
大臣 | だいじん	cabinet minister
たとえ	even if; no matter (what); if; though; although; supposing; supposing that; -ever
講堂 | こうどう	auditorium; lecture hall
生まれる | う	to be born, to be produced
いわゆる	what is called; as it is called; the so-called; so to speak
霧 | きり	fog; mist, spray
飯 | めし	cooked rice, meal; food
派手 | はで	showy; loud; gay; flashy; gaudy; ostentatious
補助 | ほじょ	assistance; support; aid; help, subsidy; supplement; subvention; grant-in-aid
用事 | ようじ	tasks; things to do; errand; business (to take care of); affairs; engagement
岸 | きし	bank; coast; shore
大量 | たいりょう	large quantity; massive (quantity); mass (e.g. mass production, mass transit, mass destruction)
八日 | ようか	the eighth day of the month, eight days
芽 | め	sprout
相変わらず | あいか	as ever; as usual; the same; still
グラス	glass (drinking vessel), glass
真理 | しんり	truth
深夜 | しんや	late at night
展示 | てんじ	exhibition; display
寂しい | さび	lonely; lonesome; solitary; desolate
宿泊 | しゅくはく	lodging
当たり前 | あ, まえ	natural; reasonable; obvious, usual; common; ordinary; commonplace; the norm
大木 | たいぼく	large tree
申し上げる | もう, あ	to say; to tell; to state; to express; to offer; to extend (greetings, congratulations, etc.), to do
九日 | ここのか	the ninth day of the month, nine days
消化 | しょうか	digestion, thorough understanding
宝 | たから	treasure
名所 | めいしょ	famous place, name of a part (of an instrument, etc.)
続き | つづ	sequel; continuation; (also suffix) continuation (in time and space); second series; succession; spell
くれる	to get dark, to end; to come to an end; to close; to run out
目安 | めやす	criterion; standard; yardstick; reference; aim, rough estimate; approximation
メモ	memo; note; memorandum
無限 | むげん	infinity; infinitude; eternity, infinite; limitless
市役所 | しやくしょ	municipal office; council; city hall
俳句 | はいく	haiku; 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae
大雨 | おおあめ	heavy rain
敷地 | しきち	site; plot; lot; grounds
論争 | ろんそう	controversy; dispute
分布 | ぶんぷ	distribution; dissemination; allocation
暖房 | だんぼう	(indoor) heating
取引 | とりひき	transactions; dealings; business
重力 | じゅうりょく	gravity; gravitation; gravitational pull
妙 | みょう	strange; unusual, (something) superb; (something) excellent
まるで	quite; entirely; completely; at all, as if; as though; just like
記す | しる	to write down; to note; to jot down, to remember
変動 | へんどう	change; fluctuation
一流 | いちりゅう	first-class; top grade; foremost; top-notch; leading, characteristic; peculiar; unique
両側 | りょうがわ	both sides
骨折 | こっせつ	bone fracture
誇り | ほこ	pride; boast
会合 | かいごう	meeting; assembly, association
十月 | じゅうがつ	October
幅 | はば	width; breadth, freedom (e.g. of thought); latitude
産地 | さんち	producing area
思い出す | おも, だ	to recall; to remember; to recollect
汗 | あせ	sweat; perspiration, moisture; condensation
人格 | じんかく	personality; character; individuality
逆 | ぎゃく	reverse; opposite, converse (of a hypothesis, etc.)
果たして | は	as was expected; just as one thought; sure enough; as a result, really? (in questions); ever?
明かり | あ	light; illumination; glow; gleam, lamp; light
湖 | みずうみ	lake
手伝う | てつだ	to help; to assist; to aid, to contribute to; to be a factor in
ミス	mistake; error; failure, Miss
多分 | たぶん	perhaps; probably, generous; many; much; great
拡張 | かくちょう	expansion; extension; enlargement; escape; ESC
入国 | にゅうこく	entry to a country
充実 | じゅうじつ	fullness; completion; perfection; substantiality, enhancement; improvement; enrichment; upgrading
文献 | ぶんけん	literature; books (reference); document
名作 | めいさく	masterpiece
食物 | しょくもつ	food; foodstuff
無い | な	nonexistent; not being (there), unpossessed; unowned; not had
会館 | かいかん	meeting hall; assembly hall
崩れる | くず	to collapse; to crumble, to get out of shape; to lose one's shape; to become disorganized; to become untidy
極端 | きょくたん	extreme; extremity
県庁 | けんちょう	prefectural office
バランス	balance
相続 | そうぞく	succession; inheritance
進化 | しんか	evolution; progress
予測 | よそく	prediction; estimation
初期 | しょき	early (days); initial stage, initial
接触 | せっしょく	touch; contact
役 | やく	use; service; role, post; position
出かける | で	to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out, to be about to leave; to be just going out
折る | お	to break; to fracture; to break off; to snap off; to pick (e.g. flowers), to fold; to bend
一員 | いちいん	person; member
八月 | はちがつ	August
感染 | かんせん	infection; contagion
味わう | あじ	to taste; to savor; to savour; to relish, to appreciate; to enjoy; to relish; to digest
特有 | とくゆう	characteristic (of); peculiar (to)
骨 | ほね	bone, frame
すっかり	all; completely; thoroughly
校舎 | こうしゃ	school building
決心 | けっしん	determination; resolution
支給 | しきゅう	provision; supply; payment; allowance; grant
見物 | けんぶつ	sightseeing; watching; viewing, sightseer; watcher; spectator
公正 | こうせい	justice; fairness; impartiality
何より | なに	most; best; above all
特許 | とっきょ	patent; special permission; licence (license); concession; franchise; charter, proprietary
調理 | ちょうり	cooking; food preparation
あそこ	there; over there; that place; yonder; you-know-where, genitals; private parts; nether regions
外見 | がいけん	outward appearance
親しい | した	intimate; close (e.g. friend)
糸 | いと	thread; yarn; string
法人 | ほうじん	corporate body; corporation; (legal) person; (juridical) person
足す | た	to add (numbers), to add (something); to top up (with something)
不良 | ふりょう	bad; poor; inferior, delinquent; hoodlum; hooligan
出張 | しゅっちょう	official tour; business trip
雇う | やと	to employ, to hire; to charter
夏 | なつ	summer
次回 | じかい	next time (occasion)
生前 | せいぜん	while alive; during one's lifetime
匂い | にお	odour; odor; scent; smell; stench, aura; whiff; smacks of ...; sense; flavour; flavor
友好 | ゆうこう	friendship
体 | からだ	body, torso; trunk
比例 | ひれい	proportion
発 | はつ	departure; departing (from ...); departing (at time ...), sending; sent (by ...); sent (at ...)
付属 | ふぞく	attached; belonging (to); included; enclosed; affiliated; annexed; associated; subordinate; incidental; dependent; auxiliary
体調 | たいちょう	physical condition
真剣 | しんけん	seriousness; earnestness, real sword (as opposed to unsharpened or wooden practice weapon)
や	such things as (non-exhaustive list related to a specific time and place); and ... and, the minute (that) ...; no sooner than ...; as soon as
後方 | こうほう	behind; in the rear; in back
両手 | りょうて	(with) both hands, approvingly
至る | いた	to arrive at (e.g. a decision); to reach (a stage); to attain, to lead to (a place); to get to
遺跡 | いせき	historic ruins (remains, relics); archeological site
今に | いま	before long; even now
黙る | だま	to be silent
防衛 | ぼうえい	defense; defence; protection; self-defense; self-defence
紫 | むらさき	purple; violet, Lithospermum erythrorhizon (species of gromwell)
灰色 | はいいろ	grey; gray; ashen
つける	to soak; to seep; to dip in, to pickle
人名 | じんめい	person's name
列島 | れっとう	archipelago; chain of islands
高層 | こうそう	multistory; multistoried; high-rise; high; tall
強める | つよ	to strengthen; to emphasize; to emphasise
大金 | たいきん	large amount of money; great cost
教養 | きょうよう	cultivation; refinement; culture; education
くれる	to give; to let one have; to do for one; to be given
意向 | いこう	intention; idea; inclination
到達 | とうたつ	reaching; attaining; arrival
扉 | とびら	door; gate; opening, title page
施行 | しこう	execution; enforcing; carrying out, giving alms; giving food to the poor or monks
巡る | めぐ	to go around, to return
傘 | かさ	umbrella; parasol
述べる | の	to state; to express; to mention
ママ	Mama, female proprietress (of a bar, etc.)
少数 | しょうすう	minority; few
下旬 | げじゅん	last third of a month; 21st to the last day of a month
翌日 | よくじつ	next day
ステレオ	stereo
保つ | たも	to keep; to preserve; to hold; to retain; to maintain; to support; to sustain; to last; to endure; to keep well (food); to wear well; to be durable
芸能 | げいのう	public entertainment; performing arts, accomplishments; attainments
見送り | みおく	seeing one off; farewell; escort
見つめる | み	to stare at; to gaze at; to look hard at; to watch intently; to fix one's eyes on
そこ	there (place relatively near listener), there (place just mentioned); that place
要る | い	to need; to want
疲れ | つか	tiredness; fatigue
負う | お	to bear; to carry on one's back, to take responsibility for; to accept a duty
抗議 | こうぎ	protest; objection
クラブ	club; fraternity; sorority; clubhouse
内閣 | ないかく	cabinet; (government) ministry
主任 | しゅにん	person in charge; responsible official; senior staff
体操 | たいそう	gymnastics; physical exercises; calisthenics
著書 | ちょしょ	literary work; book
級 | きゅう	class (e.g. school); grade; rank
果たす | は	to accomplish; to achieve; to carry out; to fulfill; to fulfil; to realize; to execute; to perform; to do, to do ... completely; to do ... entirely
話し合い | はな, あ	discussion; conference
人材 | じんざい	capable person; talented person, human resources; personnel
